250×13 DataFrame
 Row │ seed1   iteration  depositDist                     network                            graphParams1  graphParams2  withdrawRV                         reserveRatio  depositInsuranceQuantile  seed2   key                                started  completed
     │ Int64   Int64      Pareto…                         SimpleGr…                          Int64         Float64       Distribut…                         Float64       Float64                   Int64   String                             Bool     Bool
─────┼────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  35 │ 895386          5  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  116733  2026-01-25T14:50:39.354-895386-1…    false      false
  36 │ 895386          6  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  831960  2026-01-25T14:50:39.354-895386-8…    false      false
  37 │ 895386          7  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  722873  2026-01-25T14:50:39.354-895386-7…    false      false
  38 │ 895386          8  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  156346  2026-01-25T14:50:39.354-895386-1…    false      false
  39 │ 895386          9  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2   43435  2026-01-25T14:50:39.354-895386-4…    false      false
  40 │ 895386         10  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2   29302  2026-01-25T14:50:39.354-895386-2…    false      false
  41 │  70862          1  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  109790  2026-01-25T14:50:39.354-70862-10…    false      false
  42 │  70862          2  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  648482  2026-01-25T14:50:39.354-70862-64…    false      false
  43 │  70862          3  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2   86976  2026-01-25T14:50:39.354-70862-86…    false      false
  44 │  70862          4  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  704673  2026-01-25T14:50:39.354-70862-70…    false      false
